db	statement_id	enum_file	enum_line	prepare_file	prepare_line	connection	rust_statement	sql_preview	notes
auth_login	LOGIN_SEL_REALMLIST	database/Database/Implementation/LoginDatabase.h	31	database/Database/Implementation/LoginDatabase.cpp	26	CONNECTION_SYNCH	SEL_REALMLIST	SELECT id, name, address, localAddress, port, icon, flag, timezone, allowedSecurityLevel, population, gamebuild, Region, Battlegroup FROM realmlist WHERE flag <> 3 ORDER BY name	direct_prepare
auth_login	LOGIN_DEL_EXPIRED_IP_BANS	database/Database/Implementation/LoginDatabase.h	32	database/Database/Implementation/LoginDatabase.cpp	27	CONNECTION_ASYNC	DEL_EXPIRED_IP_BANS	DELETE FROM ip_banned WHERE unbandate<>bandate AND unbandate<=UNIX_TIMESTAMP()	direct_prepare
auth_login	LOGIN_UPD_EXPIRED_ACCOUNT_BANS	database/Database/Implementation/LoginDatabase.h	33	database/Database/Implementation/LoginDatabase.cpp	28	CONNECTION_ASYNC	UPD_EXPIRED_ACCOUNT_BANS	UPDATE account_banned SET active = 0 WHERE active = 1 AND unbandate<>bandate AND unbandate<=UNIX_TIMESTAMP()	direct_prepare
auth_login	LOGIN_SEL_IP_INFO	database/Database/Implementation/LoginDatabase.h	34	database/Database/Implementation/LoginDatabase.cpp	29	CONNECTION_ASYNC	SEL_IP_INFO	SELECT unbandate > UNIX_TIMESTAMP() OR unbandate = bandate AS banned, NULL as country FROM ip_banned WHERE ip = ?	direct_prepare
auth_login	LOGIN_INS_IP_AUTO_BANNED	database/Database/Implementation/LoginDatabase.h	35	database/Database/Implementation/LoginDatabase.cpp	30	CONNECTION_ASYNC	INS_IP_AUTO_BANNED	INSERT INTO ip_banned (ip, bandate, unbandate, bannedby, banreason) VALUES (?, UNIX_TIMESTAMP(), UNIX_TIMESTAMP()+?, 'Trinity Auth', 'Failed login autoban')	direct_prepare
auth_login	LOGIN_SEL_ACCOUNT_BANNED_ALL	database/Database/Implementation/LoginDatabase.h	36	database/Database/Implementation/LoginDatabase.cpp	33	CONNECTION_SYNCH	SEL_ACCOUNT_BANNED_ALL	SELECT account.id, username FROM account, account_banned WHERE account.id = account_banned.id AND active = 1 GROUP BY account.id	direct_prepare
auth_login	LOGIN_SEL_ACCOUNT_BANNED_BY_FILTER	database/Database/Implementation/LoginDatabase.h	37	database/Database/Implementation/LoginDatabase.cpp	34	CONNECTION_SYNCH	SEL_ACCOUNT_BANNED_BY_FILTER	SELECT account.id, username FROM account, account_banned WHERE account.id = account_banned.id AND active = 1 AND username LIKE CONCAT('%%', ?, '%%') GROUP BY account.id	direct_prepare
auth_login	LOGIN_SEL_ACCOUNT_BANNED_BY_USERNAME	database/Database/Implementation/LoginDatabase.h	38	database/Database/Implementation/LoginDatabase.cpp	35	CONNECTION_SYNCH	SEL_ACCOUNT_BANNED_BY_USERNAME	SELECT account.id, username FROM account, account_banned WHERE account.id = account_banned.id AND active = 1 AND username = ? GROUP BY account.id	direct_prepare
auth_login	LOGIN_DEL_ACCOUNT_BANNED	database/Database/Implementation/LoginDatabase.h	39	database/Database/Implementation/LoginDatabase.cpp	36	CONNECTION_ASYNC	DEL_ACCOUNT_BANNED	DELETE FROM account_banned WHERE id = ?	direct_prepare
auth_login	LOGIN_UPD_ACCOUNT_INFO_CONTINUED_SESSION	database/Database/Implementation/LoginDatabase.h	40	database/Database/Implementation/LoginDatabase.cpp	37	CONNECTION_ASYNC	UPD_ACCOUNT_INFO_CONTINUED_SESSION	UPDATE account SET session_key_bnet = ? WHERE id = ?	direct_prepare
